onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
9.773	19.588	MODERATOR	Okay so we're all done and we have five more minutes to spare we can do our final task it's gonna be short so uh this is um like a community fund task where you will you have to imagine that you all receive	SPK		0.013977	1.99	MOD	confident					1950.0	
18.417	1.95	P3	[SOFT LAUGHTER]	LAU				P3	manual	-10944.0				1950.0	
29.361	6.944	GROUP	(6.9)	SIL				shared	manual	8994.0					
36.305	14.592	MODERATOR	private portfolio or you can decide to share them with your colleagues and if they get shared they get multiplied as you can see in the example and then whatever in the pool then will be shared equally among you	SPK		0.003052	1.11	MOD	confident	0.0	6944.0				
50.897	1.561	GROUP	(1.6)	SIL				shared	manual	0.0					
52.458	9.491	MODERATOR	So you need to choose between 0 and 10 tokens that you want to contribute to the shared pot.	SPK		0.002455	1.09	MOD	confident	0.0	1561.0				
61.949	1.424	GROUP	(1.4)	SIL				shared	manual	0.0					
63.373	3.645	MODERATOR	So let me know if you have any questions about this.	SPK		0.002696	1.02	MOD	confident	0.0	1424.0				
67.018	4.46	GROUP	(4.5)	SIL				shared	manual	0.0					
71.478	2.442	P2	Can we discuss with each other or is it completely independent?	SPK		0.021202	3.13	P2	confident	0.0	4460.0	4460.0		514.0	
73.663	3.302	MODERATOR	Right now, not in the contribution part.	SPK		0.006356	1.4	MOD	confident	-257.0	-257.0	-257.0		514.0	
73.663	0.257	MODERATOR	[OVL:smooth]	OVL	smooth			shared	manual	-3302.0				514.0	
76.965	0.1	GROUP	(.)	SIL				shared	manual	3045.0					
77.065	4.623	MODERATOR	Then I will show the totals, and then you will be able to discuss.	SPK		0.004469	1.61	MOD	confident	0.0	100.0	3145.0			
81.688	0.14	GROUP	(.)	SIL				shared	manual	0.0					
81.828	2.962	MODERATOR	But you cannot discuss while you make the private contribution.	SPK		0.002934	1.32	MOD	confident	0.0	140.0	7908.0			
84.79	4.223	GROUP	(4.2)	SIL				shared	manual	0.0					
89.013	6.383	MODERATOR	If you're all ok, I can send in the form.	SPK		0.006256	2.77	MOD	confident	0.0	4223.0	15093.0			
95.396	0.21	GROUP	(0.2)	SIL				shared	manual	0.0					
95.606	2.221	P1	Is the goal to have the most?	SPK		0.013412	4.19	P1	confident	0.0	210.0	210.0			
97.827	1.865	GROUP	(1.9)	SIL				shared	manual	0.0					
99.692	2.783	MODERATOR	I mean, if you think about us, money, yes.	SPK		0.004508	1.39	MOD	confident	0.0	1865.0	1865.0			
102.475	4.225	GROUP	(4.2)	SIL				shared	manual	0.0				591.0	
102.781	0.351	P1	Okay.	BCK				P1	manual	-3919.0				351.0	
106.144	0.24	P1	Okay.	BCK		0.016011	5.16	P1	confident	3012.0				240.0	
106.7	1.982	MODERATOR	And whatever you think is best.	SPK		0.002087	1.46	MOD	confident	316.0	4225.0	8873.0			
108.682	3.464	GROUP	(3.5)	SIL				shared	manual	0.0					
112.146	0.2	MODERATOR	Okay.	SPK		0.002128	1.45	MOD	confident	0.0	3464.0	14319.0			
112.346	0.1	GROUP	(.)	SIL				shared	manual	0.0					
112.446	0.861	MODERATOR	Is that okay for everyone?	SPK		0.0036	1.38	MOD	confident	0.0	100.0	14619.0			
113.307	0.701	GROUP	(0.7)	SIL				shared	manual	0.0				501.0	
113.447	0.501	P4	Mm-hmm.	BCK		0.02836	2.63	P4	confident	-561.0				501.0	
114.008	0.18	MODERATOR	Okay.	SPK		0.001348	1.12	MOD	confident	60.0	701.0	16181.0			
114.188	1.117	GROUP	(1.1)	SIL				shared	manual	0.0					
115.305	2.42	P2	So each get a fourth of what's in fund shared pot?	SPK				P2	manual	0.0	1117.0	1117.0		0.0	
117.725	50.84	GROUP	(50.8)	SIL				shared	manual	0.0				0.0	
168.565	4.682	MODERATOR	So this is the result.	SPK		0.002588	1.34	MOD	confident	0.0	50840.0	50840.0			
173.247	5.582	GROUP	(5.6)	SIL				shared	manual	0.0					
178.829	9.863	MODERATOR	Now you are free to discuss or say anything.	SPK		0.001744	1.07	MOD	confident	0.0	5582.0	61104.0			
188.692	1.359	GROUP	(1.4)	SIL				shared	manual	0.0				950.0	
189.426	4.16	P3	[LAUGHTER]	LAU				P3	manual	-625.0				4680.0	
189.726	0.52	P2	Oh!	BCK				P2	manual	-3860.0				1040.0	
190.051	0.821	P4	Good job, guys.	SPK		0.125048	2.12	P4	confident	-195.0	1359.0	1359.0		1016.0	
190.872	3.717	GROUP	(3.7)	SIL				shared	manual	0.0				2730.0	
