onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
14.615	5.962	MODERATOR	So again, a few seconds, please.	SPK		0.007927	1.07	MOD	confident						
20.577	3.521	GROUP	(3.5)	SIL				shared	manual	0.0				0.0	
24.098	0.34	MODERATOR	Perfect.	SPK		0.003447	1.26	MOD	confident	0.0	3521.0			0.0	
24.478	0.36	MODERATOR	Thank you.	SPK		0.002904	1.24	MOD	confident	40.0	40.0				
24.838	2.374	GROUP	(2.4)	SIL				shared	manual	0.0					
27.212	7.222	MODERATOR	In this task, you have 10 tokens each, which can be money or whatever you like.	SPK		0.003976	1.44	MOD	confident	0.0	2374.0				
34.434	0.4	GROUP	(0.4)	SIL				shared	manual	0.0					
34.834	2.921	MODERATOR	So it's just a representative of something.	SPK		0.002789	1.59	MOD	confident	0.0	400.0				
37.755	1.4	GROUP	(1.4)	SIL				shared	manual	0.0					
39.155	6.282	MODERATOR	And then you privately decide on how many of these tokens you want to contribute in the community fund.	SPK		0.003742	1.48	MOD	confident	0.0	1400.0				
45.437	2.561	GROUP	(2.6)	SIL				shared	manual	0.0					
47.998	8.322	MODERATOR	And the ones that you put in the community funds get multiplied by 1.5 and then split equally among all participants.	SPK		0.003611	1.42	MOD	confident	0.0	2561.0				
56.32	2.023	GROUP	(2.0)	SIL				shared	manual	0.0					
58.343	27.745	MODERATOR	and your total tokens will be the one that you kept privately plus the ones that you get from community bank so when I send the contribution form you should select a number from 0 to 10 which means the number you want to put into the community bank	SPK		0.003826	1.18	MOD	confident	0.0	2023.0			0.0	
86.088	2.489	GROUP	(2.5)	SIL				shared	manual	0.0				0.0	
88.577	0.26	MODERATOR	Great.	SPK		0.003811	1.77	MOD	confident	0.0	2489.0				
88.837	0.921	GROUP	(0.9)	SIL				shared	manual	0.0				0.0	
89.758	0.28	MODERATOR	Please.	SPK		0.009224	1.53	MOD	confident	0.0	921.0			0.0	
90.038	2.525	GROUP	(2.5)	SIL				shared	manual	0.0				324.0	
91.342	0.324	P1	Okay.	BCK		0.016827	1.18	P1	confident	-1221.0				324.0	
92.563	0.992	P1	Wow, ok.	SPK				P1	confident	897.0	2525.0	2525.0			
93.555	1.62	GROUP	(1.6)	SIL				shared	manual	0.0				0.0	
95.175	1.341	P2	Very secret, secret stuff.	SPK		0.005588	2.66	P2	confident	0.0	1620.0	1620.0		0.0	
96.516	0.66	GROUP	(0.7)	SIL				shared	manual	0.0					
