onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
0.531	4.183	P4	But I guess it registers when you're actually submitting it, right?	SPK		0.046615	4.63	P4	confident					518.0	
4.455	0.3	P3	Okay.	SPK		0.01358	1.12	P3	confident	-259.0	-259.0	-259.0		518.0	
4.455	0.259	P3	[OVL:smooth]	OVL	smooth			shared	manual	-300.0				518.0	
4.755	2.881	GROUP	(2.9)	SIL				shared	manual	41.0					
7.636	4.342	MODERATOR	Perfect, so we can have a break or go to the next as it's up to you.	SPK		0.014601	1.37	MOD	confident	0.0	2881.0	2881.0			
11.978	0.463	GROUP	(0.5)	SIL				shared	manual	0.0					
12.441	1.221	P3	I think just go to the next.	SPK		0.005992	3.08	P3	confident	0.0	463.0	463.0			
13.662	0.28	GROUP	(0.3)	SIL				shared	manual	0.0					
13.942	1.181	P3	I vote for that.	SPK		0.031458	1.4	P3	confident	0.0	280.0	1964.0		0.0	
15.123	2.351	GROUP	(2.4)	SIL				shared	manual	0.0				0.0	
17.474	0.94	P2	Yeah, next one.	SPK		0.014738	3.4	P2	confident	0.0	2351.0	2351.0			
18.414	2.009	GROUP	(2.0)	SIL				shared	manual	0.0				0.0	
20.423	7.565	MODERATOR	Then again we have this calibration so you please look at the printed aim in front of you for a few seconds.	SPK		0.00616	1.35	MOD	confident	0.0	2009.0	2009.0		0.0	
27.988	3.71	GROUP	(3.7)	SIL				shared	manual	0.0					
31.698	0.82	MODERATOR	Thank you very much.	SPK		0.003781	1.32	MOD	confident	0.0	3710.0	13284.0			
32.518	0.481	GROUP	(0.5)	SIL				shared	manual	0.0					
32.999	27.071	MODERATOR	So we come to the next task which is kind of a framework you discuss about the workshop that happens at GN and you need to decide, make a decision about the topic of the workshop and also the format of the workshop among available options that you will be actually provided for you.	SPK		0.003918	1.24	MOD	confident	0.0	481.0	14585.0		0.0	
60.07	1.26	GROUP	(1.3)	SIL				shared	manual	0.0				0.0	
61.33	26.992	MODERATOR	each of you will receive a private roll card on your tablet that kind of gives you some shows what is your priority and preference for this kind of negotiation phase and we really encourage you to fight for your priorities and preferences and so it's obvious please don't show your roll card to other people	SPK		0.004516	1.21	MOD	confident	0.0	1260.0	42916.0			
88.322	4.148	GROUP	(4.1)	SIL				shared	manual	0.0					
92.47	25.552	MODERATOR	and so you need to kind of at the end agree on one topic and one format so i will send you the roll card and your discussion also start immediately with it and you have eight minutes to to discuss and agree on one topic	SPK		0.005711	1.35	MOD	confident	0.0	4148.0	74056.0			
118.022	59.048	GROUP	(59.0)	SIL				shared	manual	0.0					
177.07	12.405	P3	I would like to maybe open by saying that I would suggest that	SPK		0.021054	6.68	P3	confident	0.0	59048.0	59048.0			
189.475	1.121	GROUP	(1.1)	SIL				shared	manual	0.0					
190.596	3.081	P3	what is really needed right now in GN.	SPK		0.030587	5.65	P3	confident	0.0	1121.0	72574.0			
193.677	1.901	GROUP	(1.9)	SIL				shared	manual	0.0					
195.578	12.084	P3	While it's good to manage stress and workload at work, I think looking at productivity and how to better work together is more important.	SPK		0.025306	7.26	P3	confident	0.0	1901.0	77556.0			
207.662	0.06	GROUP	(.)	SIL				shared	manual	0.0					
207.722	2.721	P3	And when I say productivity, I don't mean like productivity	SPK		0.018071	5.73	P3	confident	0.0	60.0	89700.0			
210.443	1.02	GROUP	(1.0)	SIL				shared	manual	0.0				0.0	
211.463	15.57	P3	But working smarter instead of harder, because if everyone can master the AI tools and use AI as much as possible in a good way, then that will also maybe take some of the workload off.	SPK		0.018152	5.55	P3	confident	0.0	1020.0	93441.0		0.0	
227.033	0.84	GROUP	(0.8)	SIL				shared	manual	0.0					
227.873	8.405	P3	And there are still a lot of employees in GN who hasn't really adopted using the AI tools that are available.	SPK		0.013268	5.07	P3	confident	0.0	840.0	109851.0			
236.278	2.682	GROUP	(2.7)	SIL				shared	manual	0.0					
238.96	8.044	P3	And sharing that across teams, I mean, we just still need to prioritize that a lot, also sharing experiences.	SPK		0.017422	4.94	P3	confident	0.0	2682.0	120938.0		0.0	
247.004	0.1	GROUP	(.)	SIL				shared	manual	0.0				0.0	
