onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
320.244	3.305	MODERATOR	Please start the discussion.	SPK		0.009338	1.15	shared	manual					0.0	
323.549	4.956	GROUP	(5.0)	SIL				shared	manual	0.0				0.0	
328.505	2.128	P2	Maybe we should just present it quickly?	SPK		0.013946	1.42	shared	manual	0.0	4956.0	4956.0		430.0	
330.418	0.741	P4	Yeah.	SPK		0.01886	2.66	mic10	manual	-215.0	-215.0	-215.0		430.0	
330.418	0.215	P4	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	confident	-741.0				430.0	
331.159	1.895	GROUP	(1.9)	SIL				shared	manual	526.0					
333.054	1.582	P3	Go, P1	SPK	collaborative			shared	manual	0.0	1895.0	1895.0			
334.68	8.087	P1	Okay, so Falster, that's an island outside of Copenhagen, and now where we just sold half of GN, we have money to host that one.	SPK		0.063368	1.5	mic9	manual	44.0	44.0	44.0		2205.0	
341.478	0.902	GROUP	[LAUGHTER]	LAU	collaborative			shared	manual	-1289.0				1818.0	
341.744	0.28	P4	Yeah	SPK		0.047705	1.99	mic12	manual	-636.0	-1023.0	-1023.0		840.0	
341.744	0.28	P4	[OVL:smooth]	OVL	smooth			shared	confident	-280.0				840.0	collaborative
342.024	0.843	GROUP	(0.8)	SIL				shared	manual	0.0				1099.0	
342.867	3.604	P1	So I think it would also be good for stress relief of the employees.	SPK		0.05653	3.83	mic9	manual	0.0	843.0	843.0			
346.471	0.96	GROUP	(1.0)	SIL				shared	manual	0.0					
347.431	5.946	P1	Then we have a petanque tournament, I think that's self-explanatory, and then a GN-wide cocktail course.	SPK		0.044638	6.53	mic9	manual	0.0	960.0	5407.0			
353.377	2.479	GROUP	(2.5)	SIL				shared	manual	0.0					
355.856	0.481	P2	Sounds fun.	SPK		0.003646	1.8	shared	manual	0.0	2479.0	2479.0			
356.337	2.527	GROUP	(2.5)	SIL				shared	manual	0.0					
358.864	3.322	P2	I guess I'm number two right	SPK		0.054291	2.66	mic12	manual	0.0	2527.0	5487.0		851.0	
360.005	0.5	P3	yeah	BCK	collaborative			shared	manual	-2181.0			1141.0	701.0	
360.042	0.201	P1	Yes,	BCK		0.040787	0.57	mic9	manual	-463.0			1178.0	402.0	
362.111	7.461	P2	Mmh okay, the first one is we did it at my old job, which was quite fun, but we did a job swap.	SPK		0.0142	3.4	mic10	manual	1868.0	-75.0	8734.0		150.0	
362.111	0.075	P2	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	confident	-7461.0				150.0	
369.572	0.48	GROUP	(0.5)	SIL				shared	manual	7386.0					
370.052	4.781	P2	So you either follow a person for a day and see what they do.	SPK		0.010782	2.64	mic10	manual	0.0	480.0	16675.0			
374.833	0.14	GROUP	(.)	SIL				shared	manual	0.0					
374.973	4.901	P2	You choose your, like, you set up your own, like, deals or something.	SPK		0.006963	3.3	mic10	manual	0.0	140.0	21596.0			
379.874	0.84	GROUP	(0.8)	SIL				shared	manual	0.0					
380.714	5.881	P2	Or you have, like, a department be in another department for a day just to see what other people are working with.	SPK		0.008784	3.34	mic10	manual	0.0	840.0	27337.0			
386.595	1.18	GROUP	(1.2)	SIL				shared	manual	0.0				0.0	
387.775	4.183	P2	Then I think foraging at this campus could be quite fun.	SPK		0.01281	3.34	mic10	manual	0.0	1180.0	34398.0		0.0	
391.958	0.7	GROUP	(0.7)	SIL				shared	manual	0.0					
392.658	7.424	P2	So like hunting for plants and stuff like that around campus and then maybe having a cooking lesson or something.	SPK		0.010498	3.69	mic10	manual	0.0	700.0	39281.0			
400.082	0.881	GROUP	(0.9)	SIL				shared	manual	0.0					
400.963	9.205	P2	And then the third one is a trip to the production site in Praesto to see how they make the hearing aids and PCB boards and stuff like that.	SPK		0.010273	3.44	mic10	manual	0.0	881.0	47586.0			
410.168	0.2	GROUP	(.)	SIL				shared	manual	0.0					
410.368	1.021	P2	Like a nice outing.	SPK		0.007405	3.2	mic10	manual	0.0	200.0	56991.0			
411.389	0.54	GROUP	(0.5)	SIL				shared	manual	0.0				0.0	
411.929	1.541	P2	Both a trip to Praesto.	SPK		0.005829	2.59	mic10	manual	0.0	540.0	58552.0		0.0	
413.47	0.24	GROUP	(0.2)	SIL				shared	manual	0.0				0.0	
413.71	4.047	P2	and then it's it's pretty pretty there and then also yeah seeing something	SPK		0.008349	3.32	mic10	manual	0.0	240.0	60333.0		0.0	
417.757	4.327	GROUP	(4.3)	SIL				shared	manual	0.0				620.0	
419.042	0.5	P3	mmh	BCK	collaborative			shared	manual	-3042.0				500.0	
421.902	0.12	P3	er	FP	collaborative			shared	manual	2360.0				120.0	
422.084	4.324	P3	My ideas go from more to less appealing to me.	SPK		0.03212	6.56	mic11	manual	62.0	4327.0	4327.0			
426.408	0.901	GROUP	(0.9)	SIL				shared	manual	0.0				680.0	
426.713	2.0	P3	[SOFT LAUGHTER]	LAU	collaborative			shared	manual	-596.0				3488.0	
427.225	2.0	P1	[SOFT LAUGHTER]	LAU	collaborative			shared	manual	-1488.0				3488.0	
427.309	8.549	P3	The first one is I think there's quite a detachment between what we do in the company and how the company is run.	SPK		0.047368	2.61	mic11	manual	-1916.0	901.0	9552.0		4362.0	
435.337	3.004	P3	So I think it would be nice to have an event that actually	SPK		0.029597	5.01	mic11	manual	-521.0	-521.0	17580.0		1042.0	
435.337	0.521	P3	[OVL:competitive]	OVL	competitive			shared	confident	-3004.0				1042.0	competitive
438.341	0.88	GROUP	(0.9)	SIL				shared	manual	2483.0					
439.221	16.489	P3	allows people to become an acoustic engineer or something like that and I mean there's a very easy way to do that which is just build instruments with simple objects you can do that you can make your own guitar out of a box and a stick and some strings and then you understand about you know what is sound and how difficult it is to make something that sounds good	SPK		0.031528	4.01	mic11	manual	0.0	880.0	21464.0		1000.0	
443.0	0.5	P1	mh	BCK	collaborative			shared	manual	-12710.0			3779.0	500.0	
451.88	0.5	P2	mmh	BCK	collaborative			shared	manual	8380.0			12659.0	500.0	
455.71	0.62	GROUP	(0.6)	SIL				shared	manual	3330.0					
456.33	0.821	P3	And stuff like that, right?	SPK		0.022885	4.8	mic11	manual	0.0	620.0	38573.0			
457.171	0.5	P3	So, I don't know.	SPK		0.010566	4.68	mic11	manual	20.0	20.0	39414.0			
457.671	0.06	GROUP	(.)	SIL				shared	manual	0.0					
457.731	0.4	P3	And it's fun.	SPK		0.015256	3.97	mic11	manual	0.0	60.0	39974.0			
458.131	0.741	GROUP	(0.7)	SIL				shared	manual	0.0					
458.872	2.801	P3	Instead of marshmallows and spaghettis, right?	SPK		0.021344	6.26	mic11	manual	0.0	741.0	41115.0			
461.673	0.06	GROUP	(.)	SIL				shared	manual	0.0					
461.733	6.844	P3	Then, I mean, we have steel series and people talk about it, but I haven't known anyone who has used the gaming.	SPK		0.042472	5.13	mic11	manual	0.0	60.0	43976.0			
468.577	0.841	GROUP	(0.8)	SIL				shared	manual	0.0					
469.418	0.961	P3	I haven't.	SPK		0.054277	5.96	mic11	manual	0.0	841.0	51661.0			
470.379	0.08	GROUP	(.)	SIL				shared	manual	0.0					
470.459	3.402	P3	Facilities we have, but I mean, why not having a gaming league between everyone?	SPK		0.043458	6.09	mic11	manual	0.0	80.0	52702.0			
473.881	1.4	P3	There are multiple games.	SPK		0.023052	5.44	mic11	manual	20.0	20.0	56124.0			
475.281	0.181	GROUP	(.)	SIL				shared	manual	0.0					
475.462	1.44	P3	It doesn't need to be a shooting one, right?	SPK		0.017817	1.69	mic11	manual	0.0	181.0	57705.0		500.0	
476.073	0.5	P2	mmh	BCK	collaborative			shared	manual	-829.0			611.0	500.0	
476.902	0.06	GROUP	(.)	SIL				shared	manual	329.0					
476.962	0.781	P3	It can be any game.	SPK		0.008512	3.76	mic11	manual	0.0	60.0	59205.0			
477.743	2.299	GROUP	(2.3)	SIL				shared	manual	0.0					
480.042	4.063	P1	Maybe people should just do whatever they want.	SPK		0.126657	1.22	mic9	manual	0.0	2299.0	2299.0		2544.0	
481.991	2.659	GROUP	[LAUGHTER]	LAU	collaborative			shared	manual	-2114.0				3089.0	
483.89	1.461	P3	So, yeah, that's it.	SPK		0.063885	1.08	mic11	manual	-760.0	-215.0	-215.0		1190.0	
483.89	0.215	P3	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	confident	-1461.0				645.0	
485.371	1.981	P2	So, get half a day off	SPK		0.181066	3.89	mic11	manual	1266.0	20.0	20.0		852.0	
486.5	3.68	P1	[LAUGHTER]	LAU	collaborative			shared	manual	-852.0				3680.0	
487.352	3.089	GROUP	(3.1)	SIL				shared	manual	-2828.0				2828.0	
490.441	6.501	P4	Okay, I put a cultural tour of Copenhagen, because I know we have a lot of international co-workers, so going around showing it.	SPK		0.051261	10.1	mic12	manual	0.0	3089.0	3089.0			
496.942	0.48	GROUP	(0.5)	SIL				shared	manual	0.0					
497.422	2.52	P4	And I put Secret Santa, because I ran out of ideas.	SPK		0.030909	8.28	mic12	manual	0.0	480.0	10070.0			
499.942	0.541	GROUP	(0.5)	SIL				shared	manual	0.0					
500.483	6.621	P4	And then I put the Best Visit Team Competition, because there's nothing that builds team spirit more than competing against it.	SPK		0.05414	3.12	mic12	manual	0.0	541.0	13131.0		1351.0	
505.301	0.18	P3	No.	BCK		0.009189	1.2	mic11	manual	-1803.0			4818.0	180.0	
505.872	1.171	P3	[LAUGHTER]	LAU	collaborative			shared	manual	391.0				1171.0	
507.104	3.371	GROUP	(3.4)	SIL				shared	manual	61.0				2978.0	
508.115	2.029	P1	[LAUGHTER]	LAU	collaborative			shared	manual	-2360.0				2647.0	
509.526	1.011	GROUP	[SOFT LAUGHTER]	LAU	collaborative			shared	manual	-618.0				1629.0	
510.475	4.981	P4	but without it being physical I feel like it's always like a soccer like dodgeball I don't know something so something a bit more	SPK		0.065806	1.93	mic12	manual	-62.0	3371.0	23123.0		975.0	
514.144	0.5	P3	mmh	BCK	collaborative			shared	manual	-1312.0			3669.0	500.0	
515.043	1.161	P3	yeah	BCK		0.020502	2.73	mic11	manual	399.0			4568.0	1161.0	
515.456	4.011	GROUP	(4.0)	SIL				shared	manual	-748.0				748.0	
519.467	9.92	P4	I'll just say first I really like the day in the life job swap like I would love to do that uhm that one stood out to me	SPK	collaborative			shared	manual	0.0	4011.0	32115.0		5260.0	
525.587	0.3	P4	(0.3)	SIL	collaborative			shared	manual	-3800.0				300.0	
526.427	2.0	P2	yeah that' also quite fun	SPK	collaborative			shared	manual	540.0	-2960.0	-2960.0		4000.0	
526.427	2.0	P2	[OVL:floor_fight]	OVL	floor_fight			shared	uncertain	-2000.0				4000.0	collaborative
