onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
312.611	7.389	P3	I was struggling because if it's a GN-wide event it might be many, many people and that's why I was thinking how are we able to gather all of them? What spaces would allow for that?	SPK				shared	manual					309.0	
317.832	0.309	P3	(0.3)	SIL				shared	manual	-2168.0				309.0	
320.0	11.758	GROUP	(11.8)	SIL				shared	manual	1859.0				731.0	
323.251	0.731	P3	(0.7)	SIL				shared	manual	-8507.0				731.0	
331.758	1.882	P3	Concert and dinner sounds good.	SPK		0.018918	7.0	mic11	manual	7776.0	11758.0				
333.64	0.24	GROUP	(0.2)	SIL				shared	manual	0.0					
333.88	4.664	P3	It depends on the location that can handle the amount.	SPK		0.014435	3.27	mic11	manual	0.0	240.0			3544.0	
336.0	1.0	P2	Yeah.	SPK				shared	manual	-2544.0	-2544.0	-2544.0		2000.0	
336.0	1.0	P2	[OVL:floor_fight]	OVL	floor_fight			shared	uncertain	-1000.0				2000.0	collaborative
337.0	1.584	GROUP	(1.6)	SIL				shared	manual	0.0				1544.0	
338.584	4.2	P3	But concert, we might fill the whole place, which is okay.	SPK		0.0103	6.08	mic11	manual	0.0	1584.0	1584.0			
342.784	0.981	GROUP	(1.0)	SIL				shared	manual	0.0				741.0	
343.024	2.0	GROUP	[SOFT LAUGHTER]	LAU				shared	manual	-741.0				2000.0	
343.765	3.032	P4	So we're talking about the whole GN, bringing…	SPK		0.040043	2.43	mic12	manual	-1259.0	981.0	981.0		4318.0	
346.054	2.0	P1	yeah	SPK				shared	manual	-743.0	-743.0	-743.0		5091.0	
346.054	0.743	P1	[OVL:competitive]	OVL	competitive			shared	uncertain	-2000.0				3059.0	collaborative
346.224	0.5	P3	yeah	SPK				shared	manual	-573.0	-1830.0	-1830.0		2500.0	
346.224	0.5	P3	[OVL:competitive]	OVL	competitive			shared	confident	-500.0				2500.0	collaborative
346.224	0.5	P3	[OVL:competitive]	OVL	competitive			shared	confident	-500.0				2500.0	collaborative
346.724	0.555	GROUP	(0.6)	SIL				shared	manual	0.0				701.0	
347.279	2.088	P3	How many are we now? 7,000?	SPK				shared	manual	0.0	555.0	-775.0		2406.0	
347.279	0.775	P3	[OVL:competitive]	OVL	competitive			shared	uncertain	-2088.0				1550.0	completion
348.939	1.709	P4	Up to 8,000.	SPK				shared	manual	885.0	-428.0	-428.0		1533.0	
348.939	0.428	P4	[OVL:smooth]	OVL	smooth			shared	uncertain	-1709.0				856.0	
350.5	2.0	P1	Yeah	SPK				shared	manual	1133.0	-148.0	-148.0		6464.0	
350.5	0.148	P1	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	confident	-2000.0				677.0	
350.521	1.24	P4	Yeah, seven and something, yeah.	SPK				shared	manual	-127.0	-1979.0	-1979.0		5444.0	
350.521	0.127	P4	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	confident	-1240.0				635.0	
350.521	1.24	P4	[OVL:floor_fight]	OVL	floor_fight			shared	uncertain	-127.0				5444.0	collaborative
351.0	1.0	P3	Yeah, of course.	SPK				shared	manual	-761.0	-761.0	-761.0		4583.0	
351.0	0.3	P3	(0.3)	SIL				shared	manual	-1000.0				1800.0	
