onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
164.0	1.8	MODERATOR	You're going to start the discussion.	SPK				shared	confident						
165.8	20.479	GROUP	(20.5)	SIL				shared	confident	0.0					
186.279	18.75	P4	So for the workshop, I think from my point of view it would be really good if we addressed some topics during the workshop and that would be the environmental sustainability commitments	SPK				shared	confident	0.0	20479.0	20479.0		29.0	
205.0	29.531	P4	and how we work with them every day at work and also how we manage stress and workload because it's probably not gonna come as a surprise to you that we have a lot of individuals in our organization that feel overloaded they have too many tasks and we simply need to find a good way how we make them work in a sustainable way otherwise you know all new tasks they're just not gonna happen or we're gonna have	SPK				shared	confident	-29.0	-29.0	39200.0		29.0	
234.531	0.12	GROUP	(.)	SIL				shared	confident	0.0					
234.651	2.349	P4	a lot of burnout people.	SPK				shared	confident	0.0	120.0	68851.0			
237.0	1.0	P2	I would agree.	SPK				shared	confident	0.0	0.0	0.0			
238.0	8.0	P2	I would say that in order to manage the workload, we need to start using the tools that are around us. And that would of course be…	SPK				shared	confident	0.0	0.0	1000.0		282.0	
245.859	1.771	P3	AI for productivity?	SPK				shared	confident	-141.0	-141.0	-141.0		2172.0	
245.859	0.141	P3	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	confident	-1771.0				282.0	completion
247.0	1.269	P2	Exactly.	SPK				shared	confident	1000.0	-630.0	-630.0		2529.0	
247.0	2.0	P3	Exactly.	BCK				shared	confident	-1269.0			0.0	3260.0	
247.0	0.63	P2	[OVL:competitive]	OVL	competitive			shared	uncertain	-2000.0				1890.0	collaborative
248.269	0.731	GROUP	(0.7)	SIL				shared	confident	639.0				731.0	
249.0	4.811	P2	And also, how do we use that to work better across the teams?	SPK				shared	confident	0.0	731.0	1370.0		251.0	
253.56	0.5	P4	mmh	BCK				shared	confident	-251.0			4560.0	500.0	
253.811	1.162	GROUP	(1.2)	SIL				shared	confident	-249.0				249.0	
254.973	4.219	P2	All aspects are important, but we need to start somewhere.	SPK				shared	confident	0.0	1162.0	7343.0		1578.0	
257.493	0.5	P4	yeah	BCK				shared	confident	-1699.0			2520.0	500.0	
258.653	5.251	P2	So it's more about the phasing aspects on what do we start with and how do we progress from there?	SPK				shared	confident	660.0	-539.0	11023.0		2297.0	
258.653	0.539	P2	[OVL:competitive]	OVL	competitive			shared	confident	-5251.0				1078.0	competitive
260.602	0.859	P3	mm-hmm	BCK				shared	confident	1410.0			1949.0	859.0	
263.544	0.5	P3	mmh	BCK				shared	confident	2083.0			4891.0	500.0	
263.904	3.682	GROUP	(3.7)	SIL				shared	confident	-140.0				140.0	
267.586	10.414	P3	I would also very much like to go for the AI for productivity in daily tasks because, well, we have something to help us out with everything.	SPK				shared	confident	0.0	3682.0	3682.0			
278.0	12.909	P3	And I also believe if that is enforced properly, then maybe the fourth point, how to manage stress, that would significantly reduce, so yeah...	SPK				shared	confident	0.0	0.0	14096.0		4902.0	
288.458	22.59	P4	maybe maybe not because for some people it shows that it's very stressful to actually you know introduce these tools uh while they are out of control and spinning with the tasks they already have so I think if we want to, you know, look at the usage of AI to increase the productivity	SPK				shared	confident	-2451.0	-2451.0	-2451.0		4902.0	
288.458	2.451	P4	[OVL:floor_fight]	OVL	floor_fight			shared	confident	-22590.0				4902.0	
311.048	0.251	GROUP	(0.3)	SIL				shared	confident	20139.0					
311.299	14.88	P4	we probably need to consider you know the ways how and also look at the workload we already have so probably you know different stages how we would go about this	SPK				shared	confident	0.0	251.0	20390.0		1313.0	
324.866	1.339	P3	mmh	BCK				shared	confident	-1313.0			13567.0	1339.0	
326.179	4.821	GROUP	(4.8)	SIL				shared	confident	-26.0				3026.0	
328.0	1.0	P2	yeah	BCK				shared	confident	-3000.0				1000.0	
329.0	2.0	P2	absolutely	BCK				shared	confident	0.0				2000.0	
331.0	0.1	P3	Bud do you…	SPK				shared	confident	0.0	4821.0	4821.0		200.0	
331.0	1.0	P2	I…	SPK				shared	confident	-100.0	-100.0	-100.0		200.0	
331.0	0.1	P2	[OVL:simultaneous]	OVL	simultaneous			shared	confident	-1000.0				200.0	completion
332.0	1.309	P3	oh please go on	SPK				shared	confident	900.0	0.0	0.0		2618.0	
332.0	23.0	P2	Yeah no worries I would like all elements are like important all elements also like have each point in some of them and like available topics so like AI is for efficiency so I definitely believe that	SPK				shared	confident	-1309.0	-1309.0	-1309.0		3118.0	
332.0	1.309	P2	[OVL:simultaneous]	OVL	simultaneous			shared	confident	-23000.0				2618.0	completion
339.021	0.5	P3	mmh	BCK				shared	confident	5712.0			7021.0	500.0	
355.0	1.0	GROUP	(1.0)	SIL				shared	confident	15479.0					
356.0	1.0	P2	It does help.	SPK				shared	confident	0.0	1000.0	22691.0		384.0	
356.808	13.32	P2	We just we just also need to like learn the employees that this is something that will make you more efficient and also free up some kind of time to do like tasks that might motivate them a lot more.	SPK				shared	confident	-192.0	-192.0	23499.0		2838.0	
356.808	0.192	P2	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	confident	-13320.0				384.0	
357.928	0.5	P3	mmh	BCK				shared	confident	928.0			1120.0	500.0	
360.179	0.5	P3	mmh	BCK				shared	confident	1751.0			3371.0	500.0	
366.317	1.12	P3	mmh	BCK				shared	confident	5638.0			9509.0	1120.0	
369.961	1.64	P2	So it's all the same.	SPK				shared	confident	2524.0	-167.0	36652.0		334.0	
369.961	0.167	P2	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	confident	-1640.0				334.0	
371.601	0.399	GROUP	(0.4)	SIL				shared	confident	1473.0					
