onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
6.944	2.101	MODERATOR	Now you get the new information.	SPK		0.009561	4.77	MOD	confident						
9.065	1.221	P4	Yes, it's submitted.	SPK		0.024477	7.24	P4	confident	20.0	20.0	20.0			
10.286	1.702	GROUP	(1.7)	SIL				shared	manual	0.0					
11.988	0.42	MODERATOR	Perfect.	SPK		0.003283	1.58	MOD	confident	0.0	1702.0	1702.0			
12.408	1.541	GROUP	(1.5)	SIL				shared	manual	0.0					
13.949	3.263	MODERATOR	Okay, at least this was not in the needle of ask.	SPK		0.003765	1.43	MOD	confident	0.0	1541.0	3663.0			
17.212	5.011	GROUP	(5.0)	SIL				shared	manual	0.0					
22.223	0.18	MODERATOR	Okay.	SPK		0.002044	1.15	MOD	confident	0.0	5011.0	11937.0			
22.403	1.661	GROUP	(1.7)	SIL				shared	manual	0.0					
24.064	4.921	MODERATOR	Task 3, probably a bit more fun and similar to what one of you was talking about.	SPK		0.003734	1.51	MOD	confident	0.0	1661.0	13778.0			
28.985	0.64	GROUP	(0.6)	SIL				shared	manual	0.0					
29.625	4.201	MODERATOR	You need to decide on one best idea for a GN-wide social event.	SPK		0.004238	1.62	MOD	confident	0.0	640.0	19339.0			
33.826	0.58	GROUP	(0.6)	SIL				shared	manual	0.0					
34.406	8.762	MODERATOR	So try to be creative and original but also try to make the event feasible and realistic for as many employees as possible.	SPK		0.003922	1.24	MOD	confident	0.0	580.0	24120.0			
43.168	1.38	GROUP	(1.4)	SIL				shared	manual	0.0					
44.548	22.505	MODERATOR	You will first generate one to three ideas individually in silence and then you will be able to discuss them and in the end choose one final idea you cannot mix ideas unfortunately even if they're great you have to choose only one idea from one of you so if there are no questions i can proceed	SPK		0.004412	1.43	MOD	confident	0.0	1380.0	34262.0			
67.053	2.33	GROUP	(2.3)	SIL				shared	manual	0.0					
69.383	1.242	MODERATOR	I will send you the form.	SPK		0.003818	1.14	MOD	confident	0.0	2330.0	59097.0			
70.645	2.363	MODERATOR	You have to write and submit the ideas.	SPK		0.003875	1.4	MOD	confident	20.0	20.0	60359.0			
73.008	0.421	GROUP	(0.4)	SIL				shared	manual	0.0					
73.429	0.901	MODERATOR	One, two, three ideas.	SPK		0.00315	1.51	MOD	confident	0.0	421.0	63143.0			
