onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
1.255	5.065	MODERATOR	And also, if you're asked something about other candidates, just think of it as a game.	SPK		0.007617	1.66	MOD	confident						
6.32	2.302	GROUP	(2.3)	SIL				shared	manual	0.0				491.0	
6.394	0.491	P1	Yeah yeah yeah.	BCK				P1	manual	-2228.0				491.0	
8.622	4.744	MODERATOR	It's just with regards to this specific experiment.	SPK		0.009276	1.22	MOD	confident	1737.0	2302.0				
13.366	3.042	GROUP	(3.0)	SIL				shared	manual	0.0					
16.408	1.241	MODERATOR	Okay, perfect.	SPK		0.004464	1.53	MOD	confident	0.0	3042.0				
17.649	0.42	GROUP	(0.4)	SIL				shared	manual	0.0				0.0	
18.069	2.622	MODERATOR	So we can start with task two.	SPK		0.003494	1.26	MOD	confident	0.0	420.0			0.0	
20.691	0.68	GROUP	(0.7)	SIL				shared	manual	0.0					
21.371	2.221	MODERATOR	So this is a negotiation task.	SPK		0.003356	1.27	MOD	confident	0.0	680.0				
23.632	4.583	MODERATOR	So basically you will have to negotiate regarding these two issues.	SPK		0.003029	1.12	MOD	confident	40.0	40.0			0.0	
28.215	0.1	GROUP	(.)	SIL				shared	manual	0.0				0.0	
28.315	10.226	MODERATOR	The main thing is that you have to decide on this workshop that is an internal workshop for all employees and you have to negotiate on the topic and on the format.	SPK		0.003013	1.3	MOD	confident	0.0	100.0			0.0	
38.541	1.18	GROUP	(1.2)	SIL				shared	manual	0.0				0.0	
39.721	27.084	MODERATOR	for the negotiation you will all have a private roll card where you will be listed what is your priority and your preference and in your negotiation you have to try to advocate for whatever preference is written in your roll card so yeah I will if you don't have any questions I can send the roll cards and start the timer you have also approximately six minutes seven minutes	SPK		0.005395	1.36	MOD	confident	0.0	1180.0				
66.805	3.446	GROUP	(3.4)	SIL				shared	manual	0.0					
70.251	2.581	MODERATOR	And you can start the discussion as soon as you want.	SPK		0.003013	1.19	MOD	confident	0.0	3446.0			0.0	
72.832	25.539	GROUP	(25.5)	SIL				shared	manual	0.0				0.0	
98.371	1.306	P2	We have to pick one of each at the end.	SPK		0.01566	3.47	P2	confident	0.0	25539.0	25539.0			
99.677	0.965	GROUP	(1.0)	SIL				shared	manual	0.0				0.0	
100.642	1.534	MODERATOR	Yeah, one topic and one problem.	SPK		0.002364	1.15	MOD	confident	0.0	965.0	965.0		0.0	
102.176	31.081	GROUP	(31.1)	SIL				shared	manual	0.0					
133.257	1.733	MODERATOR	You can start your discussion.	SPK		0.001628	1.01	MOD	confident	0.0	31081.0	33580.0			
134.99	27.462	GROUP	(27.5)	SIL				shared	manual	0.0					
162.452	3.121	P1	I think we should focus on supporting our people after a big merger.	SPK		0.024938	6.09	P1	confident	0.0	27462.0	27462.0			
165.573	1.72	GROUP	(1.7)	SIL				shared	manual	0.0					
167.293	3.441	P1	So I think maybe we should start looking at stress and workload.	SPK		0.043793	3.32	P1	confident	0.0	1720.0	32303.0			
170.734	1.157	GROUP	(1.2)	SIL				shared	manual	0.0				0.0	
171.891	21.052	P4	Yeah, that's a good point i also think that i mean GN even though we're an international corporation uh we do have a strong Danish culture uh especially the work culture regardless of which location we have in the world uh now we have been acquired by an Italian manufacturer or	SPK		0.033666	12.41	P4	confident	0.0	1157.0	1157.0		0.0	
192.943	1.221	GROUP	(1.2)	SIL				shared	manual	0.0				0.0	
194.164	9.475	P4	company I think we should focus strongly on getting to know our new colleagues and how to work together with them, yeah	SPK		0.024879	2.71	P4	confident	0.0	1221.0	23430.0		0.0	
203.639	1.351	GROUP	(1.4)	SIL				shared	manual	0.0					
204.99	1.722	P3	I would say because of the...	SPK		0.019133	4.44	P3	confident	0.0	1351.0	1351.0		0.0	
206.712	0.161	GROUP	(.)	SIL				shared	manual	0.0				0.0	
206.873	0.721	P3	I am Italian.	SPK		0.021823	4.24	P3	confident	0.0	161.0	3234.0			
207.594	2.763	GROUP	(2.8)	SIL				shared	manual	0.0					
210.357	9.634	P3	I would say because of the feedback culture and how people are here, I do feel there is a lot of working across that is really, really good already.	SPK		0.024704	4.96	P3	confident	0.0	2763.0	6718.0			
219.991	0.68	GROUP	(0.7)	SIL				shared	manual	0.0				400.0	
220.215	0.4	P4	Mhm.	BCK				P4	manual	-456.0				400.0	
220.671	16.104	P3	So I think focusing on actually getting more productive and efficient would be better than necessarily learning how to cross-collaborate as I believe that that already exists at a certain extent.	SPK		0.024964	3.65	P3	confident	56.0	680.0	17032.0		371.0	
227.591	0.371	P4	Mhm.	BCK				P4	manual	-9184.0			6920.0	371.0	
236.775	1.756	GROUP	(1.8)	SIL				shared	manual	8813.0					
238.531	0.3	P4	I see.	SPK		0.014679	9.52	P4	confident	0.0	1756.0	1756.0		0.0	
238.831	0.84	GROUP	(0.8)	SIL				shared	manual	0.0				0.0	
239.671	3.281	P4	I think we're quite productive as a company already.	SPK		0.058946	2.94	P4	confident	0.0	840.0	2896.0			
242.952	0.251	GROUP	(0.3)	SIL				shared	manual	0.0					
243.203	8.784	P2	But I think the two go hand in hand, to be fair, because collaboration is a skill, but it's also a very broad, vaguely defined skill.	SPK		0.017109	4.38	P2	confident	0.0	251.0	251.0			
251.987	0.82	GROUP	(0.8)	SIL				shared	manual	0.0					
252.807	12.185	P2	And I think when we put it into practice, it's a lot different than just these broader ideas of maybe being personable or able to find compromise or agreements.	SPK		0.014617	4.31	P2	confident	0.0	820.0	9855.0			
264.992	0.66	GROUP	(0.7)	SIL				shared	manual	0.0				0.0	
265.652	12.509	P2	I think we can get a lot of productivity out of working better as a team, maybe because then we become more aligned in terms of goals or mindset or even just something as basic as workflow.	SPK		0.021094	4.54	P2	confident	0.0	660.0	22700.0		0.0	
278.161	0.121	GROUP	(.)	SIL				shared	manual	0.0					
278.282	7.785	P2	If everyone's under the same workflow, then it could just be more productive for everyone.	SPK		0.016532	4.36	P2	confident	0.0	121.0	35330.0			
286.067	0.06	GROUP	(.)	SIL				shared	manual	0.0					
286.127	4.924	P2	So I think ultimately what matters is numbers and making the absolute most.	SPK		0.021607	4.52	P2	confident	0.0	60.0	43175.0			
291.051	0.18	GROUP	(.)	SIL				shared	manual	0.0					
291.231	16.169	P2	But maybe we don't need to go on such a hard direct productivity route through incorporating AI in daily task, maybe we can let productivity come through by developing some more soft skills, such as working better across teams	SPK		0.025465	2.32	P2	confident	0.0	180.0	48279.0			
307.4	0.443	GROUP	(0.4)	SIL				shared	manual	0.0					
307.843	18.428	P3	I don't think that if you leave AI out of like rolling it out to people and teaching them how to use it, then that they would not be able to catch up with like all the AI tools that are coming up and then they actually have to use and then they'll start pushing back in the future when they'll actually have to use them.	SPK		0.023497	4.79	P3	confident	0.0	443.0	443.0			
326.271	0.34	GROUP	(0.3)	SIL				shared	manual	0.0					
326.611	8.144	P3	I think like a concern for me is like to focus on productivity is not necessarily because we're not productive, but it's to show people how important is AI	SPK		0.027678	4.89	P3	confident	0.0	340.0	19211.0			
334.755	0.94	GROUP	(0.9)	SIL				shared	manual	0.0					
335.695	4.524	P3	to make them more productive and get back their time and actually have more free time afterwards as well.	SPK		0.027267	5.0	P3	confident	0.0	940.0	28295.0			
340.219	0.52	GROUP	(0.5)	SIL				shared	manual	0.0					
340.739	6.946	P3	So it's also like a question of for them learning and like getting new skills to improve their work.	SPK		0.027062	5.64	P3	confident	0.0	520.0	33339.0			
347.685	2.056	GROUP	(2.1)	SIL				shared	manual	0.0					
349.741	9.247	P1	I think that with everyone's focuses here, it does sound like working together, working with our other people is a theme.	SPK		0.019919	6.13	P1	confident	0.0	2056.0	2056.0			
358.988	0.7	GROUP	(0.7)	SIL				shared	manual	0.0				354.0	
359.334	0.39	P4	Mhm.	BCK				P4	manual	-354.0				390.0	
359.688	9.007	P1	I know there's some things we're disagreeing on, but I think that maybe the workshop style would be something that we can agree on, given what I'm hearing.	SPK		0.023938	1.15	P1	confident	-36.0	700.0	12003.0		1988.0	
361.601	1.952	P3	[LAUGHTER]	LAU				P3	manual	-7094.0				1952.0	
368.695	0.501	GROUP	(0.5)	SIL				shared	manual	5142.0					
369.196	6.544	P1	Like one of the workshops, not the harsh sit down and fall asleep ones.	SPK		0.019403	6.01	P1	confident	0.0	501.0	21511.0			
375.74	2.432	GROUP	(2.4)	SIL				shared	manual	0.0				2041.0	
376.311	2.102	P4	Yeah.	BCK		0.018865	2.36	P4	confident	-1861.0				2282.0	
377.602	0.18	P1	Yeah.	BCK		0.02622	4.46	P1	confident	-811.0				360.0	
378.172	8.188	P2	I mean, I also think the formats that we have available to us can amplify certain topics better than others.	SPK		0.015154	1.3	P2	confident	390.0	2432.0	2432.0		8548.0	
378.433	0.38	P4	I do agree.	SPK		0.034236	10.77	P4	confident	-7927.0	-7927.0	-7927.0		760.0	
378.433	0.38	P4	[OVL:smooth]	OVL	smooth			shared	manual	-380.0				760.0	collaborative
378.813	8.488	GROUP	(8.5)	SIL				shared	manual	0.0				7547.0	
387.301	6.045	P2	So depending on maybe what we think, this most adequate format would help flesh out these disagreements.	SPK		0.016065	4.61	P2	confident	0.0	8488.0	8488.0			
393.366	5.505	P2	I think that could be a good way to shift this discussion is talk about what we think might be best.	SPK		0.016789	4.22	P2	confident	20.0	20.0	14553.0			
398.871	0.061	GROUP	(.)	SIL				shared	manual	0.0					
398.932	2.942	P2	And if we can find compromise on that, then it could guide	SPK		0.016218	4.71	P2	confident	0.0	61.0	20119.0			
401.874	1.373	GROUP	(1.4)	SIL				shared	manual	0.0					
403.247	19.39	P2	stronger topic or a topic that aligns better with the format personally as much as i talked about working better across teams for productivity's sake i think that ultimately there is some	SPK		0.021149	4.35	P2	confident	0.0	1373.0	24434.0		330.0	
409.216	0.33	P4	Yeah.	BCK				P4	manual	-13421.0			5969.0	330.0	
422.637	1.661	GROUP	(1.7)	SIL				shared	manual	13091.0					
424.298	2.442	P2	self-responsibility for how productive you are.	SPK		0.021595	4.49	P2	confident	0.0	1661.0	45485.0			
426.74	0.36	GROUP	(0.4)	SIL				shared	manual	0.0					
