onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
12.927	2.221	MODERATOR	Okay, so last task.	SPK		0.004091	1.69	shared	confident					
15.148	0.177	GROUP	(.)	SIL				shared	manual	0				
15.325	3.930	MODERATOR	This is a quick one, so we'll be soon out of here.	SPK		0.006649	1.44	shared	confident	0	177			
19.255	1.517	GROUP	(1.5)	SIL				shared	manual	0				
20.772	9.003	MODERATOR	Okay, so you have to imagine, of course, try to think that it's real that you have been assigned these tokens.	SPK		0.005047	1.36	shared	confident	0	1517			11462
20.772	0.320	P4_SUB-032	Okay,	SPK		0.005007	1.61	mic12	backchannel	-9003	-9003	-9003		2741
20.772	0.320	P4_SUB-032	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-320				2741
20.785	0.300	P3_SUB-031	Okay,	SPK		0.003094	0.64	mic11	backchannel	-307	-307	-307		2680
20.785	0.300	P3_SUB-031	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-300				2680
20.785	0.300	P3_SUB-031	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-300				2680
20.790	0.340	P1_SUB-029	Okay,	SPK		0.003012	0.67	mic9	backchannel	-295	-295	-295		2766
20.790	0.340	P1_SUB-029	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-340				2766
20.790	0.302	P1_SUB-029	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-340				2690
20.790	0.295	P1_SUB-029	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-302				2655
21.130	8.725	GROUP	(8.7)	SIL				shared	manual	45				8645
29.855	10.543	MODERATOR	You can think of them as a unit of money and you can decide whether to keep them for yourself or to put them in a community fund with your colleagues.	SPK		0.003596	1.22	shared	confident	0	8725	8725		
40.398	0.761	GROUP	(0.8)	SIL				shared	manual	0				0
41.159	3.421	MODERATOR	If you put them in the shared fund, they get multiplied by 1.5.	SPK		0.004544	1.24	shared	confident	0	761	20029		0
44.580	1.420	GROUP	(1.4)	SIL				shared	manual	0				
46.000	21.623	MODERATOR	and then the amount that's in this shared fund goes equally for all of you so your final portfolio will have the ones that you kept for yourself plus the shared one divided by four you can look at the example and if you have any questions you can ask	SPK		0.004111	1.25	shared	confident	0	1420	24870		332
67.457	0.240	P3_SUB-031	right.	SPK		0.005903	0.51	mic11	backchannel	-166	-166	-166		332
67.457	0.166	P3_SUB-031	[OVL:smooth]	OVL	smooth			shared	manual	-240				332
67.697	9.123	GROUP	(9.1)	SIL				shared	manual	74				0
76.820	3.911	MODERATOR	If you don't have any questions, I can send the contribution form.	SPK		0.002910	1.05	shared	confident	0	9123	9123		0
80.731	0.145	GROUP	(.)	SIL				shared	manual	0				
80.876	2.966	MODERATOR	You have to choose between 0 and 10 tokens.	SPK		0.003391	1.15	shared	confident	0	145	13179		
83.842	0.881	GROUP	(0.9)	SIL				shared	manual	0				
84.723	0.301	P3_SUB-031	OK.	SPK		0.008344	1.18	mic11	confident	0	881	881		
85.024	57.984	GROUP	(58.0)	SIL				shared	manual	0				
143.008	19.505	MODERATOR	okay so i'm not gonna reveal the group contribution so uh what you got in the end and then after we're gonna have a discussion phase so you're free to discuss whatever comes to mind after you see the results okay so	SPK		0.003086	1.08	shared	confident	0	57984	57984		34610
143.008	14.605	MODERATOR	Okay, so I'm now going to reveal the group contribution, so what you got in the end, and then after we're going to have a discussion phase, so you're free to discuss whatever comes to mind after you see the results.	SPK		0.003162	1.04	shared	confident	-19505	-19505	57984		29210
143.008	14.605	MODERATOR	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-14605				29210
157.633	0.260	MODERATOR	Okay, thanks.	SPK		0.001710	1.04	shared	confident	20	20	72609		520
157.633	0.260	MODERATOR	[OVL:smooth]	OVL	smooth			shared	manual	-260				520
157.893	4.220	GROUP	(4.2)	SIL				shared	manual	0				4220
162.113	0.260	P3_SUB-031	okay	SPK		0.010235	5.28	mic11	backchannel	0	4220	4220		520
162.113	0.260	P3_SUB-031	[OVL:smooth]	OVL	smooth			shared	manual	-260				520
162.373	9.904	GROUP	(9.9)	SIL				shared	manual	0				140
172.277	4.102	P3_SUB-031	Well, everyone got more than if they kept everything, right?	SPK		0.021039	4.99	mic11	confident	0	9904	14384		
176.379	0.717	GROUP	(0.7)	SIL				shared	manual	0				
177.096	0.240	P4_SUB-032	Yeah.	SPK		0.029353	9.47	mic12	confident	0	717	717		
177.336	2.340	GROUP	(2.3)	SIL				shared	manual	0				0
179.676	0.461	P4_SUB-032	That was good.	SPK		0.024213	9.74	mic12	confident	0	2340	3297		0
180.137	4.647	GROUP	(4.6)	SIL				shared	manual	0				
184.784	0.660	P3_SUB-031	I guess we didn't...	SPK		0.016244	5.64	mic11	confident	0	4647	4647		
185.444	0.710	GROUP	(0.7)	SIL				shared	manual	0				
186.154	2.141	P1_SUB-029	It pays off to think about the community.	SPK		0.024364	1.16	mic9	confident	0	710	710		1189
187.446	0.340	P3_SUB-031	Yeah,	SPK		0.032588	1.23	mic11	backchannel	-849	-849	-849		680
187.446	0.340	P3_SUB-031	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-340				680
187.786	2.201	GROUP	(2.2)	SIL				shared	manual	0				509
189.987	4.202	P3_SUB-031	And it's only like seven units not being put in.	SPK		0.030571	5.35	mic11	confident	0	2201	1692		
194.189	1.407	GROUP	(1.4)	SIL				shared	manual	0				
195.596	0.901	P1_SUB-029	I wonder who.	SPK		0.039282	1.79	mic9	confident	0	1407	1407		
196.497	2.455	GROUP	(2.5)	SIL				shared	manual	0				0
198.952	1.681	P3_SUB-031	It's seven units not being put in.	SPK		0.052713	5.93	mic11	confident	0	2455	2455		0
200.633	1.351	GROUP	(1.4)	SIL				shared	manual	0				
201.984	0.080	P2_SUB-030	Ah.	SPK		0.049348	7.46	mic10	confident	0	1351	1351		0
202.064	2.738	GROUP	(2.7)	SIL				shared	manual	0				0
204.802	23.515	P1_SUB-029	somebody covered them there could be like different people right so average can we can we state how we contributed i'm now gonna show you okay if you want to complete your questionnaire then i will send in i will reveal what everyone sent in and kept for themselves	SPK		0.015446	1.39	mic9	confident	0	2738	2738		19887
208.930	0.300	P3_SUB-031	right	SPK		0.012105	4.56	mic11	backchannel	-19387	-19387	-19387		600
208.930	0.300	P3_SUB-031	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	manual	-300				600
209.230	9.289	GROUP	(9.3)	SIL				shared	manual	0				9289
218.519	0.200	P4_SUB-032	okay	SPK		0.019184	2.23	mic12	backchannel	0	9289	9289		400
218.519	0.200	P4_SUB-032	[OVL:smooth]	OVL	smooth			shared	manual	-200				400
218.719	21.534	GROUP	(21.5)	SIL				shared	manual	0				9598
240.253	0.180	MODERATOR	Okay.	SPK		0.001243	1.02	shared	confident	0	21534	21534		188
240.339	0.180	MODERATOR	Okay.	SPK		0.001736	1.22	shared	confident	-94	-94	21620		188
240.339	0.094	MODERATOR	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-180				188
240.519	4.401	GROUP	(4.4)	SIL				shared	manual	86				0
244.920	5.582	MODERATOR	The first number is basically like what you kept of your own.	SPK		0.003575	1.41	shared	confident	0	4401	26201		0
250.502	2.301	GROUP	(2.3)	SIL				shared	manual	0				
252.803	0.680	P4_SUB-032	Okay.	SPK		0.018789	1.98	mic12	confident	0	2301	2301		
