onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
1.651	3.222	P3	I was hoping that we're going to do something with this, but I guess it's just for the computer.	SPK		0.009416	3.20	P3	confident					
4.873	4.297	GROUP	(4.3)	SIL				shared	manual	0				
9.170	4.203	MODERATOR	It's not a game, unfortunately.	SPK		0.015008	3.21	MOD	confident	0	4297	4297		2710
11.631	0.968	P3	Dissapointment	SPK				P3	manual	-1742	-1742	-1742		1936
11.631	0.968	P3	[OVL:competitive]	OVL	competitive			shared	manual	-968				1936
12.599	1.802	GROUP	(1.8)	SIL				shared	manual	0				774
14.401	5.725	MODERATOR	Okay, so we have the last task, which is also very short	SPK		0.002241	0.57	MOD	confident	0	1802	1802		
20.126	1.470	GROUP	(1.5)	SIL				shared	manual	0				
21.596	28.732	MODERATOR	so in this task you have to imagine that you receive these 10 tokens you can think of them as money and you can decide either to keep them in your private portfolio or to share them in a community fund with your colleagues if they get shared in this fund every token gets multiplied by 1.5 and then the endowment for every participant will be whatever you kept of your private tokens plus your share of the	SPK		0.004647	1.22	MOD	confident	0	1470	8997		26564
37.046	19.229	MODERATOR	If they get shared in this fund, every token gets multiplied by 1.5 and then the endowment for every participant will be whatever you kept of your private tokens plus your share of the shared community fund, which is of course equal.	SPK		0.003422	1.32	MOD	confident	-13282	-13282	24447		26564
37.046	13.282	MODERATOR	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-19229				26564
56.275	0.080	GROUP	(.)	SIL				shared	manual	5947				
56.355	10.185	MODERATOR	You can also see an example, but you can ask Kev any questions and try to think about real money.	SPK		0.002451	1.31	MOD	confident	0	80	43756		
66.540	10.803	GROUP	(10.8)	SIL				shared	manual	0				
77.343	7.234	MODERATOR	If it's okay for everyone, I can send the contribution form.	SPK		0.002978	1.76	MOD	confident	0	10803	64744		7662
80.746	4.649	MODERATOR	So decide a number between 0 and 10 to contribute to the community fund.	SPK		0.003564	1.58	MOD	confident	-3831	-3831	68147		7662
80.746	3.831	MODERATOR	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-4649				7662
85.395	55.663	GROUP	(55.7)	SIL				shared	manual	818				
141.058	3.884	MODERATOR	Okay, now I will reveal the outcome.	SPK		0.003160	1.52	MOD	confident	0	55663	128459		
144.942	2.183	GROUP	(2.2)	SIL				shared	manual	0				
147.125	3.384	MODERATOR	You can also start now a discussion or your own reaction.	SPK		0.002743	1.16	MOD	confident	0	2183	134526		
150.509	59.797	GROUP	(59.8)	SIL				shared	manual	0				
210.306	7.725	MODERATOR	Okay, so I will now also reveal everyone's contribution and you can discuss about the result for three minutes.	SPK		0.004613	1.45	shared	confident	0	59797	197707		
218.031	29.785	GROUP	(29.8)	SIL				shared	manual	0				
247.816	0.768	P3	Interesting	SPK				P3	manual	0	29785	29785		
248.584	3.330	GROUP	(3.3)	SIL				shared	manual	0				0
251.914	1.440	P1	There's all over the place	SPK				P1	manual	0	3330	3330		0
253.354	0.183	GROUP	(.)	SIL				shared	manual	0				
253.537	4.606	P3	Yeah, that's no, it was a very interesting task.	SPK		0.028613	3.92	P3	confident	0	183	183		0
258.143	1.813	GROUP	(1.8)	SIL				shared	manual	0				0
259.956	15.141	P3	I think if you do a very quick rationale, if you contribute nothing, then you're most likely to get the most back, assuming everyone else does. But if everyone contributes nothing then nothing changes	SPK		0.017185	3.63	P3	confident	0	1813	6602		1710
274.192	0.640	P4	Yeah, exactly.	SPK		0.074149	5.38	P4	confident	-905	-905	-905		1280
274.192	0.640	P4	[OVL:competitive]	OVL	competitive			shared	manual	-640				1280
