group_id	task_id	window_index	tr_nli_completion_score	tr_nli_repetition_score
grp-07	T1	5	0.9748451113700867	0.991101086139679
grp-07	T1	6	0.967543363571167	0.9921360611915588
grp-07	T1	8	0.7045964747667313	0.989780068397522
grp-07	T2	4	0.9775258898735046	0.9935306906700134
grp-07	T2	9	0.9653514921665192	0.9917372912168503
grp-07	T2	12	0.5857737809419632	0.9860764145851135
grp-07	T2	13	0.9554265141487122	0.9866640567779541
grp-07	T2	14	0.9744833707809448	0.9936856031417847
grp-07	T2	20	0.858499139547348	0.983535885810852
grp-07	T2	21	0.9632996916770935	0.9915379881858826
grp-07	T2	23	0.7123822569847107	0.9963358044624329
grp-07	T2	27	0.181916281580925	0.9922744035720825
grp-07	T2	28	0.9804126024246216	0.9947493076324463
grp-07	T2	29	0.9476835429668427	0.9878603219985962
grp-07	T3	11	0.902925173441569	0.9938078125317892
grp-07	T3	12	0.9718096256256104	0.9937191903591156
grp-07	T3	13	0.9612801671028137	0.9886243939399719
grp-07	T3	14	0.9667933225631714	0.9932884693145752
grp-07	T3	15	0.9777776002883911	0.9919691681861877
grp-07	T3	16	0.9783640503883362	0.9957271218299866
grp-07	T3	18	0.9826409816741943	0.9956769347190857
grp-07	T3	19	0.980090469121933	0.9933322370052338
grp-07	T3	20	0.9652504324913025	0.991891086101532
grp-07	T3	21	0.8376497805118561	0.9930103898048401
grp-07	T3	22	0.9750822484493256	0.9933581352233887
grp-08	T1	0	0.9637117385864258	0.9944666624069214
grp-08	T1	3	0.49652865529060364	0.9909446835517883
grp-08	T1	14	0.9714016914367676	0.9949886202812195
grp-08	T1	15	0.9088608622550964	0.9886901378631592
grp-08	T1	17	0.9000526964664459	0.9898494929075241
grp-08	T1	18	0.9769127368927002	0.996570348739624
grp-08	T1	19	0.9623112827539444	0.9924882799386978
grp-08	T1	24	0.967808187007904	0.9951040744781494
grp-08	T1	25	0.9270056188106537	0.9911660850048065
grp-08	T1	26	0.982355535030365	0.9920312166213989
grp-08	T1	27	0.9680829644203186	0.9928770363330841
grp-08	T2	11	0.9739188551902771	0.9923933148384094
grp-08	T2	12	0.9210624396800995	0.9893152713775635
grp-08	T2	14	0.9782603979110718	0.9953994154930115
grp-08	T2	17	0.9393594861030579	0.9894294738769531
grp-08	T2	18	0.9494986136754354	0.9906145334243774
grp-08	T2	23	0.9547416418790817	0.9916727691888809
grp-08	T2	24	0.9586152136325836	0.99029740691185
grp-08	T2	25	0.9789151549339294	0.9961531162261963
grp-08	T2	30	0.9722834229469299	0.9939613342285156
grp-08	T3	2	0.8857590854167938	0.9860775768756866
grp-08	T3	14	0.7778909206390381	0.9742149114608765
grp-08	T3	17	0.9834545254707336	0.993818998336792
grp-08	T3	19	0.9641016721725464	0.9918415248394012
grp-08	T3	21	0.9530218328748431	0.992946343762534
grp-08	T3	22	0.9702085057894388	0.9960410594940186
grp-08	T3	23	0.9699282050132751	0.9939613342285156
grp-08	T3	24	0.9636273384094238	0.994035025437673
grp-08	T3	31	0.9435039162635803	0.9912209510803223
grp-09	T2	17	0.9609882831573486	0.984605073928833
grp-09	T2	18	0.9703116416931152	0.9864316284656525
grp-09	T2	19	0.8623629808425903	0.9927360117435455
grp-09	T3	0	0.93475341796875	0.9916357398033142
grp-09	T3	8	0.568146288394928	0.9883352518081665
grp-09	T3	10	0.942861944437027	0.9948000311851501
grp-09	T3	11	0.9863893985748291	0.9922294020652771
grp-09	T3	14	0.9575564861297607	0.991389274597168
grp-09	T3	16	0.9691495299339294	0.9931361675262451
grp-09	T3	17	0.9759005308151245	0.9963214993476868
grp-09	T3	18	0.9631245732307434	0.9936482707659403
grp-10	T1	15	0.9780517220497131	0.9942808747291565
grp-10	T1	17	0.9792153835296631	0.9951890110969543
grp-10	T1	18	0.9727366209030152	0.9936806917190552
grp-10	T1	19	0.9803186058998108	0.9961755275726318
grp-10	T2	12	0.8683738311131796	0.9896811246871948
grp-10	T2	13	0.9333701133728027	0.9889917373657227
grp-10	T2	22	0.8687711358070374	0.9897117018699646
grp-10	T2	27	0.9060729742050171	0.9827572703361511
grp-10	T2	28	0.9110215306282043	0.9913054704666138
grp-10	T2	29	0.9553486704826355	0.9882012009620667
grp-10	T3	9	0.9718859195709229	0.9954083561897278
grp-10	T3	10	0.49611455760896206	0.9874720871448517
grp-10	T3	14	0.8628570437431335	0.9930702745914459
grp-10	T3	16	0.9657406806945801	0.9944528043270111
grp-10	T3	17	0.9318137764930725	0.9935245513916016
grp-10	T3	18	0.9464483857154846	0.9940428137779236
grp-10	T3	19	0.9799189567565918	0.9949199557304382
grp-10	T3	20	0.731104701757431	0.9949323534965515
grp-10	T3	21	0.9837068915367126	0.9963357448577881
grp-11	T1	1	0.8199560940265656	0.995189905166626
grp-11	T1	2	0.5540607497096062	0.9952786862850189
grp-11	T1	5	0.9287972450256348	0.9910319447517395
grp-11	T1	6	0.7647546331087748	0.9832818309466044
grp-11	T1	7	0.8701208114624024	0.9915175318717957
grp-11	T1	9	0.8932245969772339	0.9896068871021271
grp-11	T1	10	0.9776925444602966	0.9965435862541199
grp-11	T1	11	0.966175357500712	0.9943884412447611
grp-11	T1	12	0.9777138233184814	0.9957602024078369
grp-11	T1	17	0.936168372631073	0.9876876473426819
grp-11	T2	0	0.1686514914035797	0.983020007610321
grp-11	T2	8	0.9518280625343323	0.9854567348957062
grp-11	T2	15	0.922062337398529	0.9883577227592468
grp-11	T2	17	0.8404728472232819	0.9914726316928864
grp-11	T2	18	0.9400763809680939	0.9946666061878204
grp-11	T2	19	0.9741658568382263	0.9878528118133545
grp-11	T2	20	0.6535509467124939	0.9878286004066468
grp-11	T2	21	0.9293923676013947	0.9903478920459747
grp-11	T2	22	0.9471850097179413	0.987895131111145
grp-11	T2	23	0.9703896244366964	0.9955102205276489
grp-11	T2	24	0.5654021501541138	0.9855610430240631
grp-11	T3	0	0.939118355512619	0.9911091923713684
grp-11	T3	2	0.968171238899231	0.9862046241760254
grp-11	T3	3	0.766754649579525	0.9896907359361649
grp-11	T3	6	0.7987297782674432	0.9886004254221916
grp-11	T3	7	0.9475697576999664	0.9926798045635223
grp-11	T3	9	0.9671183228492737	0.994593933224678
grp-11	T3	11	0.977686196565628	0.9946756064891815
grp-11	T3	12	0.9104620814323425	0.9898366034030914
grp-11	T3	13	0.9519435167312622	0.9936983287334442
grp-11	T3	14	0.7083345452944437	0.9682370026906332
grp-11	T3	15	0.6650843620300293	0.9839708209037781
grp-12	T1	3	0.7877678871154785	0.9889065027236938
grp-12	T1	12	0.9664105176925659	0.9966299533843994
grp-12	T1	14	0.9630586504936218	0.9934960007667542
grp-12	T1	16	0.9895311594009399	0.9976125955581665
grp-12	T1	21	0.9693821668624878	0.991891086101532
grp-12	T2	8	0.9352874159812927	0.9946981072425842
grp-12	T2	17	0.8407825827598572	0.9839400053024292
grp-12	T2	18	0.8541562557220459	0.9888419508934021
grp-12	T2	19	0.9508692026138306	0.995216965675354
grp-12	T2	21	0.952499528725942	0.9930757482846578
grp-12	T2	22	0.8860265612602234	0.9900251030921936
grp-12	T2	24	0.17140768468379974	0.9861246943473816
grp-12	T2	26	0.9744834303855896	0.9956936836242676
grp-12	T3	10	0.9481605092684428	0.9942367474238077
grp-12	T3	13	0.9654484689235687	0.9923379421234131
grp-12	T3	14	0.9281414151191711	0.994369775056839
grp-12	T3	16	0.9795309901237488	0.9968763589859009
grp-12	T3	19	0.9582491517066956	0.9940615892410278
grp-12	T3	20	0.9814534187316895	0.9933974146842957
grp-12	T3	21	0.976509173711141	0.9945281545321146
grp-12	T3	22	0.9257627725601196	0.991366446018219
grp-12	T3	23	0.9756466150283813	0.9949199557304382
grp-13	T1	16	0.9467962185541788	0.990005373954773
grp-13	T1	18	0.9783433079719543	0.9935992956161499
grp-13	T2	9	0.04414210096001625	0.9706321358680725
grp-13	T2	19	0.9639160633087158	0.994541347026825
grp-13	T2	22	0.9379242062568665	0.9945401251316071
grp-14	T1	14	0.8484706282615662	0.9793540835380554
grp-14	T1	15	0.9621787667274475	0.9917003512382507
grp-14	T1	20	0.9659373462200165	0.9915289282798767
grp-14	T1	21	0.8636793494224548	0.993358850479126
grp-14	T2	7	0.9263065457344055	0.99349973599116
grp-14	T2	9	0.392045795917511	0.9942025542259216
grp-14	T2	16	0.9570794403553009	0.9933246374130249
grp-14	T2	18	0.7243343591690063	0.9899086952209473
grp-14	T2	19	0.08079154044389725	0.9863499999046326
grp-14	T2	20	0.05490385740995407	0.9852855205535889
grp-14	T2	21	0.8526902794837952	0.9804874658584595
grp-14	T2	22	0.958885669708252	0.9947595596313477
grp-14	T2	24	0.9323917627334595	0.9927812814712524
grp-14	T2	25	0.9682013392448425	0.9894703030586243
grp-14	T2	26	0.9245126247406006	0.9905650764703751
grp-14	T3	12	0.9687085151672363	0.99314945936203
grp-14	T3	14	0.15059006214141846	0.9887988567352295
grp-14	T3	17	0.32028958201408386	0.9948803186416626
grp-14	T3	18	0.9384156107902527	0.9905950665473938
grp-14	T3	20	0.9673486351966858	0.9934611916542053
grp-14	T3	21	0.9461593925952911	0.990668793519338
grp-15	T1	8	0.7995276550451914	0.9848850965499878
grp-15	T1	9	0.9582651257514954	0.9925826191902161
grp-15	T1	10	0.9596095234155655	0.9938478916883469
grp-15	T1	12	0.9542312820752462	0.9957238435745239
grp-15	T1	13	0.9608473777770996	0.989625076452891
grp-15	T1	14	0.9499486684799194	0.9880388975143433
grp-15	T1	16	0.7951018214225769	0.991859495639801
grp-15	T1	18	0.9740179777145386	0.993818998336792
grp-15	T1	19	0.9505195021629333	0.9911130964756012
grp-15	T1	20	0.9505818883577982	0.9894624352455139
grp-15	T2	5	0.7153245806694031	0.9877822995185852
grp-15	T2	7	0.9690475861231486	0.9908948739369711
grp-15	T2	15	0.9592307209968567	0.9921079874038696
grp-15	T2	16	0.76131671667099	0.9862311482429504
grp-15	T2	17	0.6884684562683105	0.9883352518081665
grp-15	T2	18	0.9526181817054749	0.9960082173347473
grp-15	T2	19	0.9344670474529266	0.9932471811771393
grp-15	T2	21	0.8023232817649841	0.9735190868377686
grp-15	T2	22	0.971698522567749	0.9944450855255127
grp-15	T2	23	0.9356411695480347	0.99405437707901
grp-15	T2	24	0.8373011350631714	0.9900606721639633
grp-15	T2	25	0.9393474906682968	0.9939110726118088
grp-15	T3	11	0.9855382442474365	0.9963071346282959
grp-15	T3	16	0.8946054577827454	0.9957765936851501
grp-15	T3	20	0.9694361090660095	0.9941699107487997
grp-15	T3	23	0.9264369606971741	0.9950370192527771
grp-16	T1	16	0.9374766230583191	0.99004727602005
grp-16	T1	17	0.971418023109436	0.9927005767822266
grp-16	T1	19	0.9655464172363282	0.9930033802986145
grp-16	T1	20	0.8676962852478027	0.993663775920868
grp-16	T2	8	0.8074211180210114	0.992879718542099
grp-16	T2	9	0.007861457765102386	0.9937466382980347
grp-16	T2	11	0.9593451023101807	0.9818404912948608
grp-16	T2	14	0.00815624836832285	0.9891605973243713
grp-16	T2	18	0.9779887795448303	0.9953272342681885
grp-16	T2	19	0.8667569994926453	0.9925751090049744
grp-16	T2	20	0.8996479908625284	0.9896853963534037
grp-16	T3	11	0.9731456240018209	0.9951979120572408
grp-16	T3	16	0.9615707794825236	0.9940617879231771
grp-16	T3	17	0.9096665978431702	0.9912886619567871
grp-16	T3	18	0.5918795391917229	0.9825629194577535
grp-16	T3	19	0.9640067418416342	0.9887067476908366
grp-16	T3	20	0.9787863492965698	0.9959973891576132
grp-16	T3	23	0.9499951004981995	0.9935992956161499
grp-16	T3	24	0.9337589740753174	0.9926789999008179
grp-16	T3	25	0.9803562164306641	0.9955489635467529
grp-16	T3	26	0.9893268346786499	0.9969722032546997
grp-16	T3	27	0.9788072407245636	0.9935804903507233
grp-16	T3	28	0.980431318283081	0.9945940971374512
