onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
1.154	0.400	MODERATOR	Thank you.	SPK		0.021668	1.69	MOD	confident					
1.554	1.441	GROUP	(1.4)	SIL				shared	manual	0				
2.995	3.242	MODERATOR	When you're ready, we can go to the next task.	SPK		0.007839	1.57	MOD	confident	0	1441			
6.237	3.348	GROUP	(3.3)	SIL				shared	manual	0				
9.585	10.524	MODERATOR	And again, I will need you to look at the printed names for... No, the printed one?	SPK		0.007229	1.12	MOD	confident	0	3348			3685
18.391	0.930	P2	Oh... the tablet? Or?	SPK				P2	manual	-1718	-1718	-1718		1860
18.391	0.930	P2	[OVL:competitive]	OVL	competitive			shared	manual	-930				1860
19.321	0.105	GROUP	(.)	SIL				shared	manual	0				105
19.426	0.640	MODERATOR	No, the printed one.	SPK		0.005810	1.45	MOD	confident	0	105	105		1634
19.426	0.640	MODERATOR	[OVL:competitive]	OVL	competitive			shared	manual	-640				1634
19.948	0.741	P2	The printed, oh.	SPK				P2	manual	-118	-118	-118		840
19.948	0.161	P2	[OVL:smooth]	OVL	smooth			shared	manual	-741				676
19.948	0.118	P2	[OVL:smooth]	OVL	smooth			shared	manual	-161				590
20.607	4.863	MODERATOR	The printed ones, yeah.	SPK		0.001843	1.01	MOD	confident	541	-82	-82		164
20.607	0.082	MODERATOR	[OVL:smooth]	OVL	smooth			shared	manual	-4863				164
25.470	0.400	GROUP	(0.4)	SIL				shared	manual	4781				
25.870	3.582	MODERATOR	And a little bit more because we kind of know it's enough.	SPK		0.002549	1.28	MOD	confident	0	400	5181		
29.452	0.341	GROUP	(0.3)	SIL				shared	manual	0				0
29.793	0.280	MODERATOR	Perfect.	SPK		0.004299	1.69	MOD	confident	0	341	9104		0
30.073	1.415	GROUP	(1.4)	SIL				shared	manual	0				
31.488	6.723	MODERATOR	So in this task, we have, you should decide about the GN workshop.	SPK		0.007343	1.59	MOD	confident	0	1415	10799		
38.211	1.901	GROUP	(1.9)	SIL				shared	manual	0				
40.112	11.185	MODERATOR	So you will talk about, you need to find a topic for a workshop among the list of topics that we provide for you and also a format for that.	SPK		0.003543	1.39	MOD	confident	0	1901	19423		0
51.297	1.341	GROUP	(1.3)	SIL				shared	manual	0				0
52.638	5.863	MODERATOR	Each of you has kind of a private role and some priorities on your tablets.	SPK		0.004230	1.55	MOD	confident	0	1341	31949		
58.521	0.580	MODERATOR	You will see that.	SPK		0.003397	1.22	MOD	confident	20	20	37832		
59.101	1.422	GROUP	(1.4)	SIL				shared	manual	0				
60.523	7.265	MODERATOR	And then you should fight for your priorities and your preferences.	SPK		0.004336	1.49	MOD	confident	0	1422	39834		
67.788	1.922	GROUP	(1.9)	SIL				shared	manual	0				364
69.346	0.400	P1	Hm.	BCK				P1	manual	-364				400
69.710	12.369	MODERATOR	And then you'll have around seven minutes to discuss together and agree on one topic and one format.	SPK		0.003870	1.39	MOD	confident	-36	1922	49021		344
81.925	1.141	P3	Okay.	SPK		0.002670	2.04	P3	confident	-154	-154	-154		308
81.925	0.154	P3	[OVL:smooth]	OVL	smooth			shared	manual	-1141				308
83.066	0.394	GROUP	(0.4)	SIL				shared	manual	987				0
