onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
157.000	3.440	P3	Yeah, just when you guys are ready.	SPK				shared	manual					4431
157.831	1.822	P4	Should we start?	SPK		0.015048	4.92	mic11	manual	-2609	-2609	-2609		3644
157.831	1.822	P4	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-1822				3644
159.653	6.264	GROUP	(6.3)	SIL				shared	manual	0				787
165.917	2.062	P3	All right, so we gotta figure out something.	SPK		0.027267	6.44	mic11	manual	0	6264	6264		
167.979	4.363	GROUP	(4.4)	SIL				shared	manual	0				
172.342	5.825	P3	I think also in line with the last one, this AI stuff is quite interesting.	SPK		0.038126	5.48	mic11	manual	0	4363	12689		
178.167	2.141	GROUP	(2.1)	SIL				shared	manual	0				1315
178.993	1.472	P3	um	FP				shared	manual	-1315				1472
180.308	11.149	P3	Productivity is quite important these days. Yeah, but some of the others also seem interesting.	SPK		0.025865	5.66	mic11	manual	-157	2141	20655		1419
185.617	1.262	P3	um	FP				shared	manual	-5840				1262
191.457	4.339	GROUP	(4.3)	SIL				shared	manual	4578				220
192.092	0.220	P2	Hmm.	BCK		0.006750	3.76	shared	manual	-3704				220
195.796	22.705	P4	I think especially in a state like Denmark the stress and workload at work is crucial for the environment. We want our workers not to be stressed and to feel good energy at work, so I would focus on that as a topic at least.	SPK		0.012762	5.89	mic11	manual	3484	4339	4339		4139
213.212	4.139	P4	(4.1)	SIL				shared	manual	-5289				4139
218.501	0.942	GROUP	(0.9)	SIL				shared	manual	1150				
219.443	0.300	P2	Yeah.	SPK		0.005767	3.19	mic10	manual	0	942	942		0
219.743	0.638	GROUP	(0.6)	SIL				shared	manual	0				0
220.381	2.162	P1	I think those are both important points.	SPK		0.055039	8.68	mic9	manual	0	638	638		
222.563	3.864	P1	I would focus on how we go about doing that.	SPK		0.025531	8.33	mic9	manual	20	20	2820		
226.427	6.973	GROUP	(7.0)	SIL				shared	manual	0				1660
229.395	0.500	P3	mmh	BCK				shared	manual	-4005				500
230.559	1.160	P1	um	FP				shared	manual	664				1160
233.400	2.281	P2	So which topic do you prefer?	SPK		0.008630	3.56	mic10	manual	1681	6973	6973		
235.681	13.447	GROUP	(13.4)	SIL				shared	manual	0				500
238.051	0.500	P1	[BRE]	BRE				shared	manual	-11077				500
249.128	3.568	P1	maybe like an interactive informal workshop.	SPK		0.018381	6.03	mic9	manual	10577	13447	13447		8
252.688	0.500	P2	mm-hmm	BCK				shared	manual	-8			3560	500
252.696	3.867	GROUP	(3.9)	SIL				shared	manual	-492				1583
253.858	1.091	P1	um	FP				shared	manual	-2705				1091
256.563	18.100	P2	Yeah I also agree with AI for productivity, definitely because of the use of different chat bots and tools like chat gpt which really saves a lot of time while you're trying to brainstorm new ideas or building on an old one.	SPK		0.011299	4.64	mic10	manual	1614	3867	3867		
274.663	1.241	GROUP	(1.2)	SIL				shared	manual	0				
275.904	19.965	P2	So I agree on topic one as well and it is very important that we work well among different teams and divisions given the fact that there are a lot of new restructuring and company being sold out and new people joining or like old ones leaving.	SPK		0.013743	4.81	mic10	manual	0	1241	23208		
295.869	0.480	GROUP	(0.5)	SIL				shared	manual	0				0
296.349	5.781	P2	It is very important to work better across different teams and collaborate well with others.	SPK		0.014861	4.90	mic10	manual	0	480	43653		0
302.130	1.040	GROUP	(1.0)	SIL				shared	manual	0				
303.170	1.941	P2	So I feel topic one and two.	SPK		0.012371	4.51	mic10	manual	0	1040	50474		
305.111	2.668	GROUP	(2.7)	SIL				shared	manual	0				
307.779	0.200	P3	Yeah.	SPK		0.016211	6.64	mic11	manual	0	2668	2668		
307.979	0.788	GROUP	(0.8)	SIL				shared	manual	0				
