onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
1.052	24.438	MODERATOR	Good, so if you're ready we can go to the first task but before moving to the first task i would like you to just look at the for two three second look at the printer name in front of you perfect so	SPK		0.004886	1.35	MOD	confident					
25.490	1.543	GROUP	(1.5)	SIL				shared	manual	0				
27.033	14.939	MODERATOR	the first task you are part of hiring committee and we have three applicants that have applied for sorry i'm gonna have to stop you you you told us to look at the aim the one on the screen or that one	SPK		0.031519	8.10	MOD	confident	0	1543			
41.972	0.480	GROUP	(0.5)	SIL				shared	manual	0				
42.452	0.640	MODERATOR	On the printed one.	SPK		0.005026	1.58	MOD	confident	0	480			
43.092	0.440	GROUP	(0.4)	SIL				shared	manual	0				
43.532	1.261	P4	I didn't look at the printed one.	SPK		0.065668	8.99	P4	confident	0	440	440		
44.793	0.100	GROUP	(.)	SIL				shared	manual	0				
44.893	2.581	P4	I started out by looking at the printed and then I looked at the screen.	SPK		0.091431	9.43	P4	confident	0	100	1801		
47.514	2.200	MODERATOR	I think we'll have it for the next time.	SPK		0.020754	3.93	MOD	confident	40	40	40		0
49.714	1.759	GROUP	(1.8)	SIL				shared	manual	0				240
49.794	0.240	P4	Okay.	BCK		0.033015	9.11	P4	confident	-1679				240
51.473	12.787	MODERATOR	So you are a part of a hiring committee and you have three applicants that apply for a role at GN, which is about supporting AI adoption and transformation across different departments.	SPK		0.005368	1.10	MOD	confident	1439	1759	3999		
64.260	0.919	GROUP	(0.9)	SIL				shared	manual	0				
65.179	6.702	MODERATOR	So you'll get also some information about the role itself and also information about the users on your tablet.	SPK		0.005564	1.25	MOD	confident	0	919	17705		
71.881	1.998	GROUP	(2.0)	SIL				shared	manual	0				
73.879	23.124	MODERATOR	The structure is that you will silently read your information on your tablet for around one minute and after that you have seven minutes to discuss together what is your opinion about the candidate and also come up with final one that you all agree on to be the final candidate.	SPK		0.004727	1.25	MOD	confident	0	1998	26405		
97.003	3.224	GROUP	(3.2)	SIL				shared	manual	0				
100.227	3.342	MODERATOR	So if you have a question about the task, please ask me.	SPK		0.004803	1.32	MOD	confident	0	3224	52753		
103.609	2.942	MODERATOR	Otherwise, we will go to the show.	SPK		0.002319	1.20	MOD	confident	40	40	56135		
106.551	0.140	GROUP	(.)	SIL				shared	manual	0				
106.691	2.462	MODERATOR	I will send you the evidence cards on your tablets.	SPK		0.002242	1.13	MOD	confident	0	140	59217		
109.153	2.843	GROUP	(2.8)	SIL				shared	manual	0				0
111.996	3.822	P1	So we select the candidate first and then we discuss and then we reselect it together?	SPK		0.020679	6.44	P1	confident	0	2843	2843		0
115.818	0.160	GROUP	(.)	SIL				shared	manual	0				
115.978	0.340	MODERATOR	No no no	SPK		0.009058	1.04	MOD	confident	0	160	160		
116.318	0.320	GROUP	(0.3)	SIL				shared	manual	0				
116.638	0.741	P1	Oh, sorry.	SPK		0.011408	1.48	P1	confident	0	320	320		
117.419	3.903	MODERATOR	You will just read silently for one minute the information that you have on your tablet.	SPK		0.007322	1.05	MOD	confident	40	40	40		181
121.141	0.200	P1	Yeah.	BCK		0.019304	5.49	P1	confident	-181			3722	200
121.322	0.860	GROUP	(0.9)	SIL				shared	manual	-19				19
122.182	7.025	MODERATOR	And then you have seven minutes to discuss which candidate you like, what information you have, and so on.	SPK		0.006233	1.12	MOD	confident	0	860	4803		
129.207	1.250	GROUP	(1.3)	SIL				shared	manual	0				
130.457	5.805	MODERATOR	And then within the seven minutes, you also should agree on one candidate to choose.	SPK		0.004146	1.05	MOD	confident	0	1250	13078		
136.262	0.180	GROUP	(.)	SIL				shared	manual	0				
136.442	3.123	P4	So we can discuss the information that we each have.	SPK		0.036612	4.61	P4	confident	0	180	180		1070
139.030	1.371	P1	Ah ok, got it	SPK				P1	manual	-535	-535	-535		1070
139.030	0.535	P1	[OVL:competitive]	OVL	competitive			shared	manual	-1371				1070
140.401	0.165	GROUP	(.)	SIL				shared	manual	836				
140.566	4.344	MODERATOR	But the role is that you cannot use the word by word information from your tablet.	SPK		0.009009	1.17	MOD	confident	0	165	165		
144.910	0.260	GROUP	(0.3)	SIL				shared	manual	0				
145.170	5.425	MODERATOR	You can paraphrase it, rephrase it, and just say in whatever way you choose.	SPK		0.011592	2.45	MOD	confident	0	260	4769		
150.595	0.580	GROUP	(0.6)	SIL				shared	manual	0				
151.175	6.126	MODERATOR	And I will send you the evidence card and you have one minute and 15 seconds to read your information.	SPK		0.004139	1.18	MOD	confident	0	580	10774		0
157.301	87.295	GROUP	(87.3)	SIL				shared	manual	0				0
244.596	18.332	P3	So I am focusing on what is in the description of the role, that it focused a lot on helping teams to understand the potential of AI and look at opportunities and sort of support the rollout.	SPK		0.014824	4.57	P3	confident	0	87295	87295		
262.928	0.841	GROUP	(0.8)	SIL				shared	manual	0				
263.769	8.206	P3	And I think when I look at candidate C, they show that they have a track record of...	SPK		0.018115	5.55	P3	confident	0	841	106468		
271.975	2.180	GROUP	(2.2)	SIL				shared	manual	0				0
274.155	6.984	P3	being able to communicate to other team members.	SPK		0.017988	5.54	P3	confident	0	2180	116854		0
281.139	1.141	GROUP	(1.1)	SIL				shared	manual	0				0
282.280	7.544	P3	And they've been in pilot projects or help facilitate alignment between departments.	SPK		0.015985	5.75	P3	confident	0	1141	124979		0
289.824	0.981	GROUP	(1.0)	SIL				shared	manual	0				
290.805	4.463	P3	But I'm focusing a lot on what it says about their ability to	SPK		0.020391	4.85	P3	confident	0	981	133504		0
295.268	1.958	GROUP	(2.0)	SIL				shared	manual	0				0
297.226	6.407	P3	to come across to other team members, to educate team members on the collaboration side.	SPK		0.013882	4.50	P3	confident	0	1958	139925		
303.633	0.581	GROUP	(0.6)	SIL				shared	manual	0				
304.214	6.627	P3	And that's why I'm sort of leaning towards candidate C more than candidate A and B.	SPK		0.015721	5.05	P3	confident	0	581	146913		
310.841	2.534	GROUP	(2.5)	SIL				shared	manual	0				370
312.364	0.370	P4	Mhm.	BCK				P4	manual	-1011				370
313.375	8.964	P3	which B, one of them looked very, they were not working in a very collaborative way, was said about one of them.	SPK		0.017682	2.73	P3	confident	641	2534	156074		958
320.653	0.449	P1	Mhm.	BCK				P1	manual	-1686			7278	589
320.962	0.509	P2	Mhm.	BCK				P2	manual	-140			7587	649
322.339	0.160	GROUP	(.)	SIL				shared	manual	868				
322.499	7.283	P3	And I don't think that would be very good for this role as it looks to have to go sort of cross departments.	SPK		0.009520	4.08	P3	confident	0	160	165198		0
329.782	0.948	GROUP	(0.9)	SIL				shared	manual	0				0
330.730	0.721	P2	Yeah, I agree with that.	SPK		0.013066	1.00	P2	confident	0	948	948		961
330.730	0.240	P4_SUB-046	Yeah,	SPK		0.016318	1.17	mic12	backchannel	-721	-721	-721		480
330.730	0.240	P4_SUB-046	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-240				480
330.970	0.520	GROUP	(0.5)	SIL				shared	manual	0				481
331.490	0.140	P2	Yeah.	SPK		0.005075	3.05	P2	confident	0	520	520		
331.630	1.080	GROUP	(1.1)	SIL				shared	manual	0				
332.710	8.547	P2	Also, yeah, maybe they don't have like a specialty in one specific area, but again, we have to do the cross across GN.	SPK		0.013549	4.08	P2	confident	0	1080	1740		
341.257	1.080	GROUP	(1.1)	SIL				shared	manual	0				
342.337	3.443	P2	So of course, candidate C will also be my preferred option.	SPK		0.013728	3.89	P2	confident	0	1080	11367		
345.780	1.061	GROUP	(1.1)	SIL				shared	manual	0				
346.841	12.869	P2	Yeah, maybe he doesn't have or she doesn't have that much expertise in specific areas, but again, they have heard the words before and know what it is and not afraid of taking risk of new projects and so on, try to do it	SPK		0.012799	3.93	P2	confident	0	1061	15871		390
359.072	0.390	P3	Mhm.	BCK				P3	manual	-638			12231	390
359.710	6.541	GROUP	(6.5)	SIL				shared	manual	248				0
366.251	25.601	P1	I saw candidate A and B has been kind of similar because they both didn't have that deep of a technical background but as you already mentioned seems like they are both experienced in project coordination within various teams good at communication and change management so	SPK		0.017149	3.86	P1	confident	0	6541	6541		4478
375.315	0.500	P3	Mhm.	BCK				P3	manual	-16537			9064	500
389.863	20.129	P1	just like my first impression was that i didn't have a preference between those two um but depending on how much technical knowledge you need or if it's not that deep of a technical knowledge you need but more like a high level then i would also tend towards either aoc yeah but yeah	SPK		0.017178	2.84	P1	confident	14048	-1989	30153		5340
389.863	1.989	P1	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-20129				3978
393.295	0.309	P3	Mhm.	BCK				P3	manual	1443			3432	309
407.298	0.322	P3	Yeah.	BCK				P3	manual	13694			17435	322
407.818	0.380	P2	Mhm.	BCK				P2	manual	198			17955	380
409.216	0.351	P4	Yeah.	BCK				P4	manual	1018			19353	351
409.992	0.868	GROUP	(0.9)	SIL				shared	manual	425				
410.860	10.447	P4	I also got the impression that person B is technically skilled, but perhaps not so easy to work with or perhaps not so good at communicating.	SPK		0.034066	8.65	P4	confident	0	868	868		528
419.589	0.198	P3	Yeah.	BCK				P3	manual	-1718			8729	198
419.807	0.330	P2	Yeah.	BCK				P2	manual	20			8947	330
421.307	1.061	GROUP	(1.1)	SIL				shared	manual	1170				
422.368	6.885	P4	And I think what you said about person C, that seemed spot on also as what I read.	SPK		0.023753	10.22	P4	confident	0	1061	12376		380
427.601	0.380	P2	Yeah.	BCK				P2	manual	-1652			5233	380
